,l,K,res_frac,t_10
24321,0.00027049597304631344,270495973.04631317,0.9933623494846052,1.3208333333333333
24322,0.00027049597304631344,283309610.1839318,0.99398107220722,1.3083333333333333
24323,0.00027049597304631344,296730240.81888723,0.9940728066924642,1.2958333333333334
24324,0.00027049597304631344,310786618.7782014,0.9939344110784799,1.2875
24325,0.00027049597304631344,325508859.98350567,0.9937004566812466,1.275
24326,0.00027049597304631344,340928506.9746808,0.9934378167395228,1.2666666666666666
24327,0.00027049597304631344,357078596.490047,0.9931851272937845,1.2541666666666667
24328,0.00027049597304631344,373993730.24788016,0.9929668021975808,1.2458333333333333
24329,0.00027049597304631344,391710149.08092606,0.9928064613972323,1.2375
24330,0.00027049597304631344,410265810.582719,0.9927242636704471,1.2291666666666667
24331,0.00027049597304631344,429700470.4320835,0.9927451280885486,1.2208333333333332
24332,0.00027049597304631344,450055767.5700488,0.9928919421704131,1.2125
24333,0.00027049597304631344,471375313.4116729,0.9931784815457139,1.2041666666666666
24334,0.00027049597304631344,493704785.2839004,0.9935946423511087,1.1958333333333333
24335,0.00027049597304631344,517092024.28967553,0.9940999084451891,1.1916666666666667
24336,0.00027049597304631344,541587137.8079466,0.9946290433190308,1.1833333333333333
24337,0.00027049597304631344,567242606.8491989,0.9951183412086001,1.1791666666666667
24338,0.00027049597304631344,594113398.496504,0.9955288976964669,1.1708333333333334
24339,0.00027049597304631344,622257083.6730231,0.995849375127104,1.1666666666666667
24340,0.00027049597304631344,651733960.488242,0.9960903069434583,1.1625
24341,0.00027049597304631344,682607183.4272379,0.996270592100991,1.1541666666666666
24342,0.00027049597304631344,714942898.6597562,0.9964097873906095,1.15
24343,0.00027049597304631344,748810385.759003,0.9965246657657691,1.1458333333333333
24344,0.00027049597304631344,784282206.1337682,0.9966288391052448,1.1416666666666666
24345,0.00027049597304631344,821434358.4919422,0.9967324269944586,1.1375
24346,0.00027049597304631344,860346441.6684492,0.9968417570666471,1.1333333333333333
24347,0.00027049597304631344,901101825.1665037,0.9969591287479476,1.1291666666666667
24348,0.00027049597304631344,943787827.7775391,0.9970839792129668,1.125
24349,0.00027049597304631344,988495904.6625586,0.9972140754485618,1.1208333333333333
24350,0.00027049597304631344,1035321843.2956616,0.9973458112732674,1.1208333333333333
24351,0.00027049597304631344,1084365968.6896086,0.9974752561013576,1.1166666666666667
24352,0.00027049597304631344,1135733358.343103,0.997599407570847,1.1125
24353,0.00027049597304631344,1189534067.3703208,0.9977164324775942,1.1083333333333334
24354,0.00027049597304631344,1245883364.2950082,0.9978255941972163,1.1083333333333334
24355,0.00027049597304631344,1304901978.0144017,0.9979272625351876,1.1041666666666667
24356,0.00027049597304631344,1366716356.4620101,0.9980222617111912,1.1
24357,0.00027049597304631344,1431458937.5234814,0.9981116386137033,1.1
24358,0.00027049597304631344,1499268432.7860472,0.9981963616513393,1.0958333333333332
24359,0.00027049597304631344,1570290124.7293775,0.9982771762426742,1.0958333333333332
24360,0.00027049597304631344,1644676177.9946628,0.9983546263946312,1.0916666666666666
