,c,h,res_frac,t_10
354,0.010473708979594498,1.2458833642950085e-06,1.0,0.225
355,0.010473708979594498,1.3049019780144031e-06,1.0,0.21666666666666667
356,0.010473708979594498,1.3667163564620076e-06,1.0,0.20833333333333334
357,0.010473708979594498,1.4314589375234788e-06,1.0,0.2
358,0.010473708979594498,1.499268432786046e-06,1.0,0.19166666666666665
359,0.010473708979594498,1.570290124729378e-06,1.0,0.18333333333333332
360,0.010473708979594498,1.6446761779946648e-06,1.0,0.175
361,0.010473708979594498,1.7225859653987878e-06,1.0,0.17083333333333334
362,0.010473708979594498,1.8041864093920722e-06,1.0,0.1625
363,0.010473708979594498,1.88965233969121e-06,1.0,0.15416666666666667
364,0.010473708979594498,1.9791668678535575e-06,1.0,0.15
365,0.010473708979594498,2.0729217795953723e-06,1.0,0.14166666666666666
366,0.010473708979594498,2.1711179456945056e-06,1.0,0.1375
367,0.010473708979594498,2.273965752357928e-06,1.0,0.13333333333333333
368,0.010473708979594498,2.3816855519761587e-06,1.0,0.125
369,0.010473708979594498,2.494508135230317e-06,1.0,0.12083333333333333
370,0.010473708979594498,2.6126752255633296e-06,1.0,0.11666666666666667
371,0.010473708979594498,2.7364399970746726e-06,1.0,0.1125
372,0.010473708979594498,2.866067616948251e-06,1.0,0.10833333333333334
373,0.010473708979594498,3.0018358135755894e-06,1.0,0.10416666666666667
374,0.010473708979594498,3.144035471591501e-06,1.0,0.1
375,0.010473708979594498,3.2929712550971522e-06,1.0,0.09583333333333333
376,0.010473708979594498,3.44896226040576e-06,1.0,0.09166666666666666
377,0.010473708979594498,3.6123426997094313e-06,1.0,0.0875
378,0.010473708979594498,3.78346261713193e-06,1.0,0.08333333333333333
379,0.010473708979594498,3.9626886387014795e-06,1.0,0.07916666666666666
380,0.010473708979594498,4.150404757850477e-06,1.0,0.07916666666666666
381,0.010473708979594498,4.347013158125028e-06,1.0,0.075
382,0.010473708979594498,4.552935074866949e-06,1.0,0.07083333333333333
383,0.010473708979594498,4.7686116977144705e-06,1.0,0.07083333333333333
384,0.010473708979594498,4.994505115855141e-06,1.0,0.06666666666666667
385,0.010473708979594498,5.231099308056264e-06,1.0,0.0625
386,0.010473708979594498,5.478901179593947e-06,1.0,0.0625
387,0.010473708979594498,5.738441648302394e-06,1.0,0.058333333333333334
388,0.010473708979594498,6.010276782070383e-06,1.0,0.058333333333333334
389,0.010473708979594498,6.2949889902218896e-06,1.0,0.05416666666666667
390,0.010473708979594498,6.59318827133355e-06,1.0,0.05416666666666667
391,0.010473708979594498,6.9055135201623314e-06,1.0,0.05
392,0.010473708979594498,7.232633896483535e-06,1.0,0.05
393,0.010473708979594498,7.575250258771914e-06,1.0,0.04583333333333333
394,0.010473708979594498,7.934096665797493e-06,1.0,0.04583333333333333
395,0.010473708979594498,8.309941949353398e-06,1.0,0.041666666666666664
396,0.010473708979594498,8.703591361485167e-06,1.0,0.041666666666666664
397,0.010473708979594498,9.115888299750829e-06,1.0,0.041666666666666664
398,0.010473708979594498,9.547716114208058e-06,1.0,0.0375
399,0.010473708979594498,1.0000000000000003e-05,1.0,0.0375
400,0.010969857978923837,1.0000000000000003e-09,1.0,1.8416666666666666
401,0.010969857978923837,1.04737089795945e-09,1.0,1.8416666666666666
402,0.010969857978923837,1.0969857978923838e-09,1.0,1.8416666666666666
403,0.010969857978923837,1.1489510001873094e-09,1.0,1.8416666666666666
404,0.010969857978923837,1.2033778407775896e-09,1.0,1.8416666666666666
405,0.010969857978923837,1.2603829296797278e-09,1.0,1.8416666666666666
406,0.010969857978923837,1.3200884008314183e-09,1.0,1.8416666666666666
407,0.010969857978923837,1.382622173764656e-09,1.0,1.8416666666666666
408,0.010969857978923837,1.448118227674534e-09,1.0,1.8416666666666666
409,0.010969857978923837,1.5167168884709228e-09,1.0,1.8416666666666666
410,0.010969857978923837,1.588565129428053e-09,1.0,1.8416666666666666
411,0.010969857978923837,1.6638168860761293e-09,1.0,1.8416666666666666
412,0.010969857978923837,1.7426333860096503e-09,1.0,1.8416666666666666
413,0.010969857978923837,1.8251834943190437e-09,1.0,1.8416666666666666
414,0.010969857978923837,1.911644075385702e-09,1.0,1.8416666666666666
415,0.010969857978923837,2.0022003718155847e-09,1.0,1.8416666666666666
416,0.010969857978923837,2.0970464013232334e-09,1.0,1.8416666666666666
417,0.010969857978923837,2.1963853724165465e-09,1.0,1.8416666666666666
418,0.010969857978923837,2.300430119772919e-09,1.0,1.8416666666666666
419,0.010969857978923837,2.409403560239525e-09,1.0,1.8416666666666666
420,0.010969857978923837,2.5235391704347665e-09,1.0,1.8416666666666666
421,0.010969857978923837,2.6430814869741065e-09,1.0,1.8416666666666666
